repo,tag,dl_old,dl
avro,release-1.0.0,0.674953,0.785407
avro,release-1.10.0,0.687800,0.612656
avro,release-1.10.0-rc1,0.687800,0.612656
avro,release-1.10.0-rc2,0.687800,0.612656
avro,release-1.10.1,0.687800,0.612656
avro,release-1.10.1-rc1,0.687800,0.612656
avro,release-1.10.2,0.687800,0.612656
avro,release-1.10.2-rc1,0.687800,0.612656
avro,release-1.10.2-rc2,0.687800,0.612656
avro,release-1.1.0,0.637815,0.716862
avro,release-1.11.0,0.695216,0.616593
avro,release-1.11.0-rc1,0.695216,0.616593
avro,release-1.11.0-rc2,0.695216,0.616593
avro,release-1.11.1,0.678761,0.602798
avro,release-1.11.1-rc1,0.678761,0.602798
avro,release-1.2.0,0.640264,0.723849
avro,release-1.3.0,0.598998,0.617675
avro,release-1.3.1,0.595520,0.614250
avro,release-1.3.2,0.595520,0.614250
avro,release-1.3.3,0.595520,0.614250
avro,release-1.3.3-rc0,0.595520,0.614250
avro,release-1.3.3-rc1,0.595520,0.614250
avro,release-1.4.0,0.665741,0.589304
avro,release-1.4.0-rc1,0.665741,0.589304
avro,release-1.4.0-rc3,0.665741,0.589304
avro,release-1.4.1,0.667002,0.596710
avro,release-1.4.1-rc0,0.667002,0.596710
avro,release-1.5.0,0.635305,0.552856
avro,release-1.5.0-rc0,0.635305,0.552856
avro,release-1.5.0-rc1,0.635305,0.552856
avro,release-1.5.0-rc2,0.635305,0.552856
avro,release-1.5.0-rc3,0.635305,0.552856
avro,release-1.5.1,0.635305,0.552856
avro,release-1.5.2,0.601688,0.597197
avro,release-1.5.2-rc0,0.635305,0.552856
avro,release-1.5.2-rc1,0.601688,0.597197
avro,release-1.5.3,0.601688,0.597197
avro,release-1.5.4,0.601688,0.597197
avro,release-1.5.4-rc0,0.601688,0.597197
avro,release-1.6.0,0.654166,0.634060
avro,release-1.6.0-rc0,0.654166,0.634060
avro,release-1.6.0-rc1,0.654166,0.634060
avro,release-1.6.1,0.654166,0.634060
avro,release-1.6.1-rc0,0.654166,0.634060
avro,release-1.6.2,0.655630,0.632842
avro,release-1.6.2-rc0,0.655630,0.632842
avro,release-1.6.2-rc1,0.655630,0.632842
avro,release-1.6.3,0.655630,0.632842
avro,release-1.6.3-rc0,0.655630,0.632842
avro,release-1.7.0,0.702189,0.681209
avro,release-1.7.0-rc0,0.702189,0.681209
avro,release-1.7.0-rc1,0.702189,0.681209
avro,release-1.7.1,0.699202,0.681847
avro,release-1.7.1-rc0,0.699202,0.681847
avro,release-1.7.2,0.705366,0.661982
avro,release-1.7.2-rc0,0.705366,0.661982
avro,release-1.7.3,0.704600,0.661706
avro,release-1.7.3-rc0,0.704600,0.661706
avro,release-1.7.3-rc1,0.704600,0.661706
avro,release-1.7.3-rc2,0.704600,0.661706
avro,release-1.7.4,0.711533,0.671326
avro,release-1.7.4-rc0,0.711533,0.671326
avro,release-1.7.4-rc1,0.711533,0.671326
avro,release-1.7.4-rc2,0.711533,0.671326
avro,release-1.7.5,0.710007,0.664539
avro,release-1.7.5-rc0,0.710007,0.664539
avro,release-1.7.6,0.707972,0.667165
avro,release-1.7.6-rc0,0.707972,0.667165
avro,release-1.7.7,0.725033,0.672974
avro,release-1.7.7-rc0,0.725033,0.672974
avro,release-1.8.0,0.690080,0.626647
avro,release-1.8.0-rc0,0.687660,0.625213
avro,release-1.8.0-rc1,0.687660,0.625213
avro,release-1.8.0-rc2,0.687660,0.625213
avro,release-1.8.0-rc3,0.690080,0.626647
avro,release-1.8.1,0.684859,0.623747
avro,release-1.8.1-rc0,0.684859,0.623747
avro,release-1.8.1-rc1,0.684859,0.623747
avro,release-1.8.2,0.698623,0.622873
avro,release-1.8.2-rc1,0.698623,0.622873
avro,release-1.8.2-rc2,0.698623,0.622873
avro,release-1.8.2-rc3,0.698623,0.622873
avro,release-1.8.2-rc4,0.698623,0.622873
avro,release-1.9.0,0.692707,0.622343
avro,release-1.9.0-rc1,0.692707,0.622343
avro,release-1.9.0-rc2,0.692707,0.622343
avro,release-1.9.0-rc3,0.692707,0.622343
avro,release-1.9.0-rc4,0.692707,0.622343
avro,release-1.9.1,0.692707,0.622343
avro,release-1.9.1-rc1,0.692707,0.622343
avro,release-1.9.1-rc2,0.692707,0.622343
avro,release-1.9.1-rc3,0.692707,0.622343
avro,release-1.9.2,0.688568,0.615368
avro,release-1.9.2-rc1,0.688568,0.615368
avro,release-1.9.2-rc2,0.688568,0.615368
depends,0.9.3a,0.836000,0.333149
depends,0.9.3c,0.797057,0.351363
depends,0.9.3d,0.792048,0.350112
depends,0.9.3,0.836000,0.333149
depends,0.9.4,0.790950,0.340316
depends,0.9.5a,0.689015,0.295242
depends,0.9.5b,0.689015,0.295242
depends,0.9.5c,0.684007,0.315135
depends,0.9.5f,0.686019,0.318987
depends,0.9.5,0.689015,0.295242
depends,0.9.5g,0.686019,0.318987
depends,0.9.5h,0.686019,0.318987
depends,0.9.6a,0.699532,0.333778
depends,0.9.6b,0.719969,0.343995
depends,0.9.6c,0.715697,0.341139
depends,0.9.6d,0.715697,0.341139
depends,0.9.6e,0.729787,0.340083
depends,0.9.6f,0.842972,0.377184
depends,0.9.6,0.699532,0.333778
depends,0.9.7,0.842099,0.377112
depends,v0.9.0,0.818868,0.347603
depends,v0.9.1a,0.830341,0.338238
depends,v0.9.1,0.830341,0.338238
depends,v0.9.2,0.831527,0.337383
depends,v0.9.7,0.842099,0.377112
pig,release-0.10.0,0.498902,0.461288
pig,release-0.10.0.new,0.498902,0.461288
pig,release-0.10.0-rc0,0.498902,0.461288
pig,release-0.10.1,0.499381,0.461723
pig,release-0.10.1-rc0,0.499381,0.461723
pig,release-0.10.1-rc1,0.499381,0.461723
pig,release-0.1.0,0.370546,0.256020
pig,release-0.11.0,0.475340,0.414516
pig,release-0.11.0-rc0,0.475340,0.414516
pig,release-0.11.0-rc1,0.475340,0.414516
pig,release-0.11.0-rc2,0.475340,0.414516
pig,release-0.11.1,0.475340,0.414516
pig,release-0.11.1-rc0,0.475340,0.414516
pig,release-0.1.1,0.374596,0.269266
pig,release-0.1.1-rc1,0.374596,0.269266
pig,release-0.12.0,0.476920,0.414774
pig,release-0.12.0-rc0,0.476920,0.414774
pig,release-0.12.0-rc1,0.476920,0.414774
pig,release-0.12.0-rc2,0.476920,0.414774
pig,release-0.12.1,0.476119,0.413877
pig,release-0.12.1-rc0,0.476119,0.413877
pig,release-0.13.0,0.425569,0.383356
pig,release-0.13.0-rc0,0.425569,0.383356
pig,release-0.14.0,0.464754,0.384127
pig,release-0.14.0-rc0,0.464754,0.384127
pig,release-0.14.0-rc1,0.464754,0.384127
pig,release-0.15.0,0.470220,0.388363
pig,release-0.15.0-rc0,0.470220,0.388363
pig,release-0.15.0-rc1,0.470220,0.388363
pig,release-0.16.0,0.472141,0.390479
pig,release-0.16.0-rc0,0.472141,0.390479
pig,release-0.17.0,0.492397,0.375639
pig,release-0.17.0-rc0,0.492397,0.375639
pig,release-0.2.0,0.340448,0.333863
pig,release-0.2.0-rc0,0.340448,0.333863
pig,release-0.2.0-rc1,0.340448,0.333863
pig,release-0.3.0,0.334522,0.331767
pig,release-0.4.0,0.381396,0.370384
pig,release-0.4.0-rc0,0.381396,0.370384
pig,release-0.5.0,0.382274,0.371134
pig,release-0.6.0,0.396714,0.377995
pig,release-0.6.0-rc0,0.396521,0.380796
pig,release-0.7.0,0.388604,0.366752
pig,release-0.8.0,0.407284,0.368371
pig,release-0.8.1,0.406898,0.368058
pig,release-0.8.1-rc0,0.406898,0.368058
pig,release-0.9.0,0.628047,0.521735
pig,release-0.9.0-rc0,0.628047,0.521735
pig,release-0.9.0-rc1,0.628047,0.521735
pig,release-0.9.1,0.628900,0.521996
pig,release-0.9.1-rc0,0.628900,0.521996
pig,release-0.9.1-rc1,0.628900,0.521996
pig,release-0.9.2,0.493814,0.454957
pig,release-0.9.2-rc0,0.626843,0.521185
pig,release-0.9.2-rc1,0.493814,0.454957
